Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,Exit_Number
Ferry Mosman Bay,-33.83847,151.23228
Ferry Neutral Bay,-33.85899,151.21940
Ferry North Sydney,-33.84486,151.21878
Ferry Old Cremorne,-33.84086,151.23050
Ferry Parramatta,-33.81391,151.01058
Ferry Pyrmont Bay,-33.86817,151.19881
Ferry Rose Bay,-33.87061,151.26217
Ferry Rydalmere,-33.81799,150.97707
Ferry South Mosman,-33.84325,151.23261
Ferry Sydney Olympic Park,-33.82243,151.07877
Ferry Taronga Zoo,-33.84636,151.23950
Ferry Watsons Bay,-33.84342,151.28106
Ferry Woolwich,-33.83872,151.17597
